BE.NMBS.1;AALST;50.943053;4.038586
BE.NMBS.2;AALST KERREBROEK;50.948316;4.024773
BE.NMBS.3;AALTER;51.092258;3.447856
BE.NMBS.4;AARSCHOT;50.984408;4.824036
BE.NMBS.5;AARSELE;50.984458;3.418361
BE.NMBS.6;ACREN;50.732936;3.846683
BE.NMBS.7;AISEAU;50.429545;4.584378
BE.NMBS.8;ALKEN;50.886419;5.29173
BE.NMBS.9;AMAY;50.546006;5.320489
BE.NMBS.10;AMPSIN;50.539236;5.288855
BE.NMBS.11;ANDENNE;50.496799;5.095972
BE.NMBS.12;ANGLEUR;50.61253;5.600949
BE.NMBS.13;ANS;50.661214;5.509703
BE.NMBS.14;ANSEREMME;50.238016;4.905525
BE.NMBS.15;ANTOING;50.569628;3.451308
BE.NMBS.16;ANTWERPEN BERCHEM;51.198914;4.4332
BE.NMBS.17;ANTWERPEN CENTRAAL;51.21686;4.421242
BE.NMBS.18;ANTWERPEN DAM;51.231782;4.426479
BE.NMBS.19;ANTWERPEN NOORDERDOKKEN;51.264045;4.42874
BE.NMBS.20;ANTWERPEN OOST;51.206616;4.434799
BE.NMBS.21;ANTWERPEN ZUID;51.197514;4.392258
BE.NMBS.22;ANZEGEM;50.826208;3.495469
BE.NMBS.23;APPELTERRE;50.81345;3.972025
BE.NMBS.24;ARCHENNES;50.754337;4.662366
BE.NMBS.25;ARLON;49.679975;5.810614
BE.NMBS.26;ASSE;50.906731;4.208422
BE.NMBS.27;ASSESSE;50.36855;5.021306
BE.NMBS.28;ATH;50.6271;3.776406
BE.NMBS.29;AUVELAIS;50.44917;4.6307
BE.NMBS.30;AYE;50.224872;5.300689
BE.NMBS.31;AYWAILLE;50.473014;5.672483
BE.NMBS.32;BAASRODE ZUID;51.019236;4.153992
BE.NMBS.33;BALEGEM DORP;50.919953;3.7907
BE.NMBS.34;BALEGEM ZUID;50.900803;3.805767
BE.NMBS.35;BALEN;51.168314;5.16605
BE.NMBS.36;BAMBRUGGE;50.913903;3.935661
BE.NMBS.37;BARVAUX;50.349541;5.502133
BE.NMBS.38;BAS OHA;50.522625;5.190939
BE.NMBS.39;BASSE WAVRE;50.724184;4.621178
BE.NMBS.40;BASTOGNE NORD;50.00716;5.721388
BE.NMBS.41;BASTOGNE SUD;49.99963;5.709672
BE.NMBS.42;BEAURAING;50.113836;4.957029
BE.NMBS.43;BEERNEM;51.128008;3.329886
BE.NMBS.44;BEERSEL;50.766404;4.302274
BE.NMBS.45;BEGIJNENDIJK;51.021972;4.800344
BE.NMBS.46;BEIGNEE;50.333239;4.406797
BE.NMBS.47;BELLEM;51.083908;3.487367
